ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
22,2.6206000000000003e-05,1.1911818181818184e-06,5.5788e-05,2.535818181818182e-06,"('/home/vmittal/.cache/pypoetry/virtualenvs/focus-converter-FC-3SlwU-py3.11/lib/python3.11/site-packages/polars/datatypes/convert.py', 382, 'py_type_to_dtype')"
1,3.1283000000000005e-05,3.1283000000000005e-05,3.5787e-05,3.5787e-05,"('~', 0, ""<method 'validate_python' of 'pydantic_core._pydantic_core.SchemaValidator' objects>"")"
52,5.1977e-05,9.995576923076923e-07,0.00011921900000000001,2.2926730769230773e-06,"('/home/vmittal/.cache/pypoetry/virtualenvs/focus-converter-FC-3SlwU-py3.11/lib/python3.11/site-packages/polars/utils/_parse_expr_input.py', 85, 'parse_as_expression')"
16,2.2103e-05,1.3814375e-06,6.852e-05,4.2825e-06,"('/home/vmittal/.cache/pypoetry/virtualenvs/focus-converter-FC-3SlwU-py3.11/lib/python3.11/site-packages/polars/functions/col.py', 20, '_create_col')"
24,0.000134663,5.610958333333333e-06,0.000259065,1.0794375e-05,"('/home/vmittal/.cache/pypoetry/virtualenvs/focus-converter-FC-3SlwU-py3.11/lib/python3.11/site-packages/polars/functions/lit.py', 27, 'lit')"
1,2.4399e-05,2.4399e-05,0.0018525660000000002,0.0018525660000000002,"('/home/vmittal/.cache/pypoetry/virtualenvs/focus-converter-FC-3SlwU-py3.11/lib/python3.11/site-packages/polars/dataframe/frame.py', 671, '_read_csv')"
1,2.0450000000000002e-05,2.0450000000000002e-05,0.001973747,0.001973747,"('/home/vmittal/.cache/pypoetry/virtualenvs/focus-converter-FC-3SlwU-py3.11/lib/python3.11/site-packages/polars/io/csv/functions.py', 21, 'read_csv')"
1,1.1903000000000001e-05,1.1903000000000001e-05,7.6172e-05,7.6172e-05,"('/home/vmittal/.cache/pypoetry/virtualenvs/focus-converter-FC-3SlwU-py3.11/lib/python3.11/site-packages/polars/io/_utils.py', 68, '_prepare_file_arg')"
22,5.2535000000000004e-05,2.387954545454546e-06,5.2535000000000004e-05,2.387954545454546e-06,"('/home/vmittal/Code/focus/vm_focus_converters/focus_converter_base/focus_converter/models/focus_column_names.py', 71, 'get_dtype_for_focus_column_name')"
1,5.6468e-05,5.6468e-05,0.017947822000000002,0.017947822000000002,"('/home/vmittal/Code/focus/vm_focus_converters/focus_converter_base/focus_converter/converter.py', 340, 'convert')"
1,2.0181000000000002e-05,2.0181000000000002e-05,0.011476751,0.011476751,"('/usr/lib/python3.11/multiprocessing/queues.py', 86, 'put')"
1,1.4280000000000001e-06,1.4280000000000001e-06,1.4280000000000001e-06,1.4280000000000001e-06,"('/home/vmittal/Code/focus/vm_focus_converters/focus_converter_base/focus_converter/conversion_functions/deferred_column_functions.py', 55, 'apply_missing_column_plan')"
