ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
17,2.2478e-05,1.322235294117647e-06,4.2701e-05,2.511823529411765e-06,"('/home/vmittal/.cache/pypoetry/virtualenvs/focus-converter-FC-3SlwU-py3.11/lib/python3.11/site-packages/polars/datatypes/convert.py', 382, 'py_type_to_dtype')"
3,5.4763000000000004e-05,1.8254333333333336e-05,6.4799e-05,2.1599666666666666e-05,"('~', 0, ""<method 'validate_python' of 'pydantic_core._pydantic_core.SchemaValidator' objects>"")"
73,6.4417e-05,8.824246575342466e-07,0.00017299900000000002,2.3698493150684932e-06,"('/home/vmittal/.cache/pypoetry/virtualenvs/focus-converter-FC-3SlwU-py3.11/lib/python3.11/site-packages/polars/utils/_parse_expr_input.py', 85, 'parse_as_expression')"
45,4.6444000000000005e-05,1.032088888888889e-06,0.000127572,2.8349333333333336e-06,"('/home/vmittal/.cache/pypoetry/virtualenvs/focus-converter-FC-3SlwU-py3.11/lib/python3.11/site-packages/polars/functions/col.py', 20, '_create_col')"
13,7.108200000000001e-05,5.467846153846154e-06,0.000135159,1.0396846153846155e-05,"('/home/vmittal/.cache/pypoetry/virtualenvs/focus-converter-FC-3SlwU-py3.11/lib/python3.11/site-packages/polars/functions/lit.py', 27, 'lit')"
1,2.3502000000000003e-05,2.3502000000000003e-05,0.007637032,0.007637032,"('/home/vmittal/.cache/pypoetry/virtualenvs/focus-converter-FC-3SlwU-py3.11/lib/python3.11/site-packages/polars/dataframe/frame.py', 671, '_read_csv')"
1,4.4276e-05,4.4276e-05,0.007772228000000001,0.007772228000000001,"('/home/vmittal/.cache/pypoetry/virtualenvs/focus-converter-FC-3SlwU-py3.11/lib/python3.11/site-packages/polars/io/csv/functions.py', 21, 'read_csv')"
1,1.1154e-05,1.1154e-05,6.8822e-05,6.8822e-05,"('/home/vmittal/.cache/pypoetry/virtualenvs/focus-converter-FC-3SlwU-py3.11/lib/python3.11/site-packages/polars/io/_utils.py', 68, '_prepare_file_arg')"
1,6.200000000000001e-06,6.200000000000001e-06,6.412300000000001e-05,6.412300000000001e-05,"('/home/vmittal/.cache/pypoetry/virtualenvs/focus-converter-FC-3SlwU-py3.11/lib/python3.11/site-packages/polars/lazyframe/frame.py', 3657, 'join')"
6,1.5452e-05,2.5753333333333336e-06,1.5452e-05,2.5753333333333336e-06,"('/home/vmittal/Code/focus/vm_focus_converters/focus_converter_base/focus_converter/models/focus_column_names.py', 71, 'get_dtype_for_focus_column_name')"
1,8.979700000000001e-05,8.979700000000001e-05,0.030258679000000004,0.030258679000000004,"('/home/vmittal/Code/focus/vm_focus_converters/focus_converter_base/focus_converter/converter.py', 340, 'convert')"
1,2.3339e-05,2.3339e-05,0.009083301,0.009083301,"('/usr/lib/python3.11/multiprocessing/queues.py', 86, 'put')"
1,5.4097e-05,5.4097e-05,0.00032554700000000003,0.00032554700000000003,"('/home/vmittal/Code/focus/vm_focus_converters/focus_converter_base/focus_converter/conversion_functions/deferred_column_functions.py', 55, 'apply_missing_column_plan')"
2,1.2063000000000001e-05,6.031500000000001e-06,1.4756e-05,7.378e-06,"('/usr/lib/python3.11/multiprocessing/util.py', 186, '__init__')"
1,4.2305e-05,4.2305e-05,0.009043574,0.009043574,"('/usr/lib/python3.11/multiprocessing/queues.py', 161, '_start_thread')"
10,6.304e-06,6.304e-07,6.304e-06,6.304e-07,"('~', 0, '<built-in method new>')"
10,0.001300699,0.0001300699,0.001300699,0.0001300699,"('~', 0, ""<method 'execute' of 'builtins.PySQLContext' objects>"")"
10,0.00032547900000000005,3.254790000000001e-05,0.00032547900000000005,3.254790000000001e-05,"('~', 0, ""<method 'register' of 'builtins.PySQLContext' objects>"")"
1,0.007596063,0.007596063,0.007596063,0.007596063,"('~', 0, '<built-in method read_csv>')"
1,1.5595000000000002e-05,1.5595000000000002e-05,1.5595000000000002e-05,1.5595000000000002e-05,"('~', 0, ""<method 'lazy' of 'builtins.PyDataFrame' objects>"")"
1,4.6859e-05,4.6859e-05,4.6859e-05,4.6859e-05,"('~', 0, ""<method 'optimization_toggle' of 'builtins.PyLazyFrame' objects>"")"
1,0.008136419,0.008136419,0.008136419,0.008136419,"('~', 0, ""<method 'collect' of 'builtins.PyLazyFrame' objects>"")"
1,7.782500000000001e-05,7.782500000000001e-05,7.782500000000001e-05,7.782500000000001e-05,"('~', 0, ""<method 'select' of 'builtins.PyLazyFrame' objects>"")"
1,2.6662000000000003e-05,2.6662000000000003e-05,2.6662000000000003e-05,2.6662000000000003e-05,"('~', 0, ""<method 'join' of 'builtins.PyLazyFrame' objects>"")"
22,0.000272253,1.2375136363636365e-05,0.000272253,1.2375136363636365e-05,"('~', 0, ""<method 'with_columns' of 'builtins.PyLazyFrame' objects>"")"
19,0.00023173600000000002,1.219663157894737e-05,0.00023173600000000002,1.219663157894737e-05,"('~', 0, ""<method 'with_columns_seq' of 'builtins.PyLazyFrame' objects>"")"
1,8.0345e-05,8.0345e-05,8.0345e-05,8.0345e-05,"('~', 0, ""<method 'drop' of 'builtins.PyLazyFrame' objects>"")"
