ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
45,5.1496e-05,1.1443555555555556e-06,0.000135591,3.0131333333333334e-06,"('/home/vmittal/.cache/pypoetry/virtualenvs/focus-converter-FC-3SlwU-py3.11/lib/python3.11/site-packages/polars/functions/col.py', 20, '_create_col')"
13,7.074300000000001e-05,5.441769230769232e-06,0.000137231,1.055623076923077e-05,"('/home/vmittal/.cache/pypoetry/virtualenvs/focus-converter-FC-3SlwU-py3.11/lib/python3.11/site-packages/polars/functions/lit.py', 27, 'lit')"
1,2.2517e-05,2.2517e-05,0.006192813,0.006192813,"('/home/vmittal/.cache/pypoetry/virtualenvs/focus-converter-FC-3SlwU-py3.11/lib/python3.11/site-packages/polars/dataframe/frame.py', 671, '_read_csv')"
1,1.5833000000000002e-05,1.5833000000000002e-05,0.006293493000000001,0.006293493000000001,"('/home/vmittal/.cache/pypoetry/virtualenvs/focus-converter-FC-3SlwU-py3.11/lib/python3.11/site-packages/polars/io/csv/functions.py', 21, 'read_csv')"
1,9.36e-06,9.36e-06,6.1747e-05,6.1747e-05,"('/home/vmittal/.cache/pypoetry/virtualenvs/focus-converter-FC-3SlwU-py3.11/lib/python3.11/site-packages/polars/io/_utils.py', 68, '_prepare_file_arg')"
1,7.0200000000000006e-06,7.0200000000000006e-06,6.867100000000001e-05,6.867100000000001e-05,"('/home/vmittal/.cache/pypoetry/virtualenvs/focus-converter-FC-3SlwU-py3.11/lib/python3.11/site-packages/polars/lazyframe/frame.py', 3657, 'join')"
6,1.6545e-05,2.7575000000000003e-06,1.6545e-05,2.7575000000000003e-06,"('/home/vmittal/Code/focus/vm_focus_converters/focus_converter_base/focus_converter/models/focus_column_names.py', 71, 'get_dtype_for_focus_column_name')"
1,9.175700000000001e-05,9.175700000000001e-05,0.039713053000000005,0.039713053000000005,"('/home/vmittal/Code/focus/vm_focus_converters/focus_converter_base/focus_converter/converter.py', 340, 'convert')"
1,1.6037000000000002e-05,1.6037000000000002e-05,0.007377860000000001,0.007377860000000001,"('/usr/lib/python3.11/multiprocessing/queues.py', 86, 'put')"
1,4.4277e-05,4.4277e-05,0.000309497,0.000309497,"('/home/vmittal/Code/focus/vm_focus_converters/focus_converter_base/focus_converter/conversion_functions/deferred_column_functions.py', 55, 'apply_missing_column_plan')"
2,1.1786e-05,5.893e-06,1.4359000000000001e-05,7.1795000000000005e-06,"('/usr/lib/python3.11/multiprocessing/util.py', 186, '__init__')"
1,3.0365e-05,3.0365e-05,0.00734025,0.00734025,"('/usr/lib/python3.11/multiprocessing/queues.py', 161, '_start_thread')"
10,6.5410000000000006e-06,6.541e-07,6.5410000000000006e-06,6.541e-07,"('~', 0, '<built-in method new>')"
10,0.0012478270000000002,0.0001247827,0.0012478270000000002,0.0001247827,"('~', 0, ""<method 'execute' of 'builtins.PySQLContext' objects>"")"
10,0.000261275,2.61275e-05,0.000261275,2.61275e-05,"('~', 0, ""<method 'register' of 'builtins.PySQLContext' objects>"")"
1,0.00615347,0.00615347,0.00615347,0.00615347,"('~', 0, '<built-in method read_csv>')"
1,1.4516000000000001e-05,1.4516000000000001e-05,1.4516000000000001e-05,1.4516000000000001e-05,"('~', 0, ""<method 'lazy' of 'builtins.PyDataFrame' objects>"")"
1,4.9605000000000004e-05,4.9605000000000004e-05,4.9605000000000004e-05,4.9605000000000004e-05,"('~', 0, ""<method 'optimization_toggle' of 'builtins.PyLazyFrame' objects>"")"
1,0.021024512000000002,0.021024512000000002,0.021024512000000002,0.021024512000000002,"('~', 0, ""<method 'collect' of 'builtins.PyLazyFrame' objects>"")"
1,7.603300000000001e-05,7.603300000000001e-05,7.603300000000001e-05,7.603300000000001e-05,"('~', 0, ""<method 'select' of 'builtins.PyLazyFrame' objects>"")"
1,2.9910000000000003e-05,2.9910000000000003e-05,2.9910000000000003e-05,2.9910000000000003e-05,"('~', 0, ""<method 'join' of 'builtins.PyLazyFrame' objects>"")"
22,0.00023551800000000002,1.0705363636363637e-05,0.00023551800000000002,1.0705363636363637e-05,"('~', 0, ""<method 'with_columns' of 'builtins.PyLazyFrame' objects>"")"
19,0.000219368,1.1545684210526315e-05,0.000219368,1.1545684210526315e-05,"('~', 0, ""<method 'with_columns_seq' of 'builtins.PyLazyFrame' objects>"")"
1,7.763e-05,7.763e-05,7.763e-05,7.763e-05,"('~', 0, ""<method 'drop' of 'builtins.PyLazyFrame' objects>"")"
17,8.267100000000001e-05,4.863000000000001e-06,8.267100000000001e-05,4.863000000000001e-06,"('~', 0, ""<method 'columns' of 'builtins.PyLazyFrame' objects>"")"
8,0.00023617200000000001,2.9521500000000002e-05,0.000246231,3.0778875e-05,"('~', 0, ""<method 'schema' of 'builtins.PyLazyFrame' objects>"")"
