ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
18,2.0355e-05,1.1308333333333334e-06,3.8255000000000006e-05,2.1252777777777782e-06,"('/home/vmittal/.cache/pypoetry/virtualenvs/focus-converter-FC-3SlwU-py3.11/lib/python3.11/site-packages/polars/datatypes/convert.py', 382, 'py_type_to_dtype')"
63,5.1646e-05,8.197777777777778e-07,0.000126375,2.005952380952381e-06,"('/home/vmittal/.cache/pypoetry/virtualenvs/focus-converter-FC-3SlwU-py3.11/lib/python3.11/site-packages/polars/utils/_parse_expr_input.py', 85, 'parse_as_expression')"
20,2.0594e-05,1.0297e-06,5.4471e-05,2.72355e-06,"('/home/vmittal/.cache/pypoetry/virtualenvs/focus-converter-FC-3SlwU-py3.11/lib/python3.11/site-packages/polars/functions/col.py', 20, '_create_col')"
18,7.3632e-05,4.090666666666667e-06,0.000143501,7.972277777777779e-06,"('/home/vmittal/.cache/pypoetry/virtualenvs/focus-converter-FC-3SlwU-py3.11/lib/python3.11/site-packages/polars/functions/lit.py', 27, 'lit')"
1,2.1245e-05,2.1245e-05,0.0008261340000000001,0.0008261340000000001,"('/home/vmittal/.cache/pypoetry/virtualenvs/focus-converter-FC-3SlwU-py3.11/lib/python3.11/site-packages/polars/dataframe/frame.py', 671, '_read_csv')"
1,2.0708000000000002e-05,2.0708000000000002e-05,0.000921899,0.000921899,"('/home/vmittal/.cache/pypoetry/virtualenvs/focus-converter-FC-3SlwU-py3.11/lib/python3.11/site-packages/polars/io/csv/functions.py', 21, 'read_csv')"
1,1.2176e-05,1.2176e-05,5.5884e-05,5.5884e-05,"('/home/vmittal/.cache/pypoetry/virtualenvs/focus-converter-FC-3SlwU-py3.11/lib/python3.11/site-packages/polars/io/_utils.py', 68, '_prepare_file_arg')"
1,7.422e-06,7.422e-06,7.0028e-05,7.0028e-05,"('/home/vmittal/.cache/pypoetry/virtualenvs/focus-converter-FC-3SlwU-py3.11/lib/python3.11/site-packages/polars/lazyframe/frame.py', 3657, 'join')"
18,3.7203e-05,2.0668333333333337e-06,3.7203e-05,2.0668333333333337e-06,"('/home/vmittal/Code/focus/vm_focus_converters/focus_converter_base/focus_converter/models/focus_column_names.py', 71, 'get_dtype_for_focus_column_name')"
1,5.5063000000000005e-05,5.5063000000000005e-05,0.020123196000000003,0.020123196000000003,"('/home/vmittal/Code/focus/vm_focus_converters/focus_converter_base/focus_converter/converter.py', 340, 'convert')"
